PublicationID	PublicationYear
36068722	2022
36144858	2022
40866422	2025
36952491	2023
38961481	2024
36718082	2023
40940667	2025
40447137	2025
34688823	2022
35402510	2022
38084840	2023
39063099	2024
40409557	2025
40022263	2025
39564692	2024
36401970	2022
39142717	2024
41053808	2025
39230843	2024
38641066	2024
38773967	2024
35865516	2022
38942955	2024
35094207	2022
37009514	2023
37450672	2023
38969056	2024
41196029	2025
40744496	2025
33676410	2021
35802500	2022
41065719	2025
39535852	2025
38138628	2023
37151489	2023
38950192	2024
39478223	2024
40038816	2025
39111832	2024
37528477	2023
40421030	2025
38890199	2024
38954719	2024
39799111	2025
40246582	2025
40735821	2025
36614294	2023
39622772	2024
41226132	2025
38675499	2024
35807986	2022
40536045	2025
40223817	2025
40066268	2025
38800042	2024
PMC12138339	2025
39746910	2025
38982595	2024
36503464	2023
38355661	2024
40260965	2025
PPR1089751	2025
33462327	2021
40390765	2025
PMC12385818	2025
41257251	2024
37632627	2023
40411427	2025
40272315	2025
37967509	2023
39794309	2025
38866325	2024
37186857	2023
38347802	2024
41337810	2025
41041049	2025
39857391	2025
39285260	2024
38068988	2023
34741910	2022
39925456	2025
39531498	2024
41390711	2025
39380463	2024
39273480	2024
38891780	2024
39608246	2024
37052759	2023
35989251	2022
40637421	2025
39432814	2024
35922374	2022
40634336	2025
39366929	2024
37822941	2023
38522519	2024
36034790	2022
39179666	2024
37093350	2023
40408263	2025
37287590	2023
40619432	2025
39747162	2025
38201237	2023
40928250	2025
36354481	2022
40046426	2025
PPR989396	2025
39738064	2024
37430945	2022
39959045	2025
40029885	2025
36997747	2023
39589774	2025
40237069	2025
40887497	2025
39417586	2024
39957820	2025
36273329	2022
41294769	2025
36309294	2023
40202104	2025
35495635	2022
39371993	2024
39489821	2024
40706037	2025
36979608	2023
38980371	2024
36719439	2023
40968879	2025
39952925	2025
40427382	2025
39924859	2025
38908376	2024
38032267	2023
40510324	2025
37016280	2023
36902136	2023
37916956	2024
40559843	2025
37630387	2023
38684865	2024
35044668	2022
40293556	2025
38718860	2024
37317172	2023
40593577	2025
40545683	2025
38177953	2023
39016470	2024
35434234	2022
38069216	2023
40598899	2025
39810248	2025
39695164	2024
36976928	2023
33924405	2021
37569522	2023
37047165	2023
39437264	2024
37504134	2023
40757241	2025
40336106	2025
40560751	2025
35629349	2022
36293491	2022
40705894	2025
40430849	2025
39865095	2025
37298929	2023
39206200	2024
38674064	2024
40362222	2025
PMC12342889	2025
40135833	2025
38203840	2024
39510067	2024
38643218	2024
40494884	2025
39949939	2025
39827240	2025
40698132	2025
34586788	2021
39927773	2025
39625149	2024
40202329	2025
39354232	2025
38164757	2023
40144764	2025
38067624	2023
40411416	2025
39214970	2024
39389971	2024
37759704	2023
40305884	2025
40804479	2025
40216763	2025
40518514	2025
38755636	2024
40121956	2025
37744034	2023
38959108	2024
36986663	2023
38457656	2024
36869335	2023
39930259	2025
40659660	2025
40119117	2025
39207051	2024
40275270	2025
37959747	2023
37367229	2023
PMC12138128	2025
41150750	2025
35798563	2022
37184136	2023
38027588	2023
39444408	2024
38784453	2024
PMC12137305	2025
38646520	2024
PPR1056922	2025
37340430	2023
41081542	2025
38303728	2024
PPR846723	2024
38544951	2024
40662354	2025
37993535	2024
38145807	2024
41124267	2025
35674432	2022
40133195	2025
39483244	2024
39940787	2025
39476840	2024
40253339	2025
40136933	2025
34466204	2021
40177067	2025
PPR989896	2025
36969890	2023
40362730	2025
35921001	2022
39632831	2024
38580333	2024
PPR1076901	2025
PPR873766	2024
35973511	2022
38915105	2024
41036080	2025
37739034	2023
36705186	2023
40664668	2025
36333711	2022
PPR728321	2023
PMC12349883	2025-08-15
37080155	2023
38174116	2023
40779122	2025
40426267	2025
40244130	2025
39296644	2024
36239546	2023
PMC12356038	2025
40750916	2025
39456236	2024
39753983	2025
37949218	2024
38542105	2024
40395558	2025
41307206	2025
40626207	2023
37362207	2023
40979648	2025
40989106	2025
38545094	2024
36869086	2023
35049665	2022
PPR616916	2023
PMC12384571	2025
40764385	2025
38243811	2024
36944610	2023
35810466	2022
40133642	2025
41251395	2025
37376196	2023
39955284	2025
35596191	2022
38535779	2024
41184286	2025
38665669	2024
37583703	2023
35408469	2022
36178190	2022
35458446	2022
37307147	2023
38534713	2024
34534610	2021
40091835	2025
35806467	2022
40118871	2025
35218775	2022
PPR443724	2022
37821808	2023
40835842	2025
38036070	2024
36345431	2022
38250398	2024
36233317	2022
37686404	2023
38093831	2023
37330528	2023
39193213	2024
35203649	2022
38223667	2024
38983984	2024
35949003	2022
40791180	2025
36046608	2022
34579761	2021
41087744	2025
38876305	2024
38754263	2024
38072062	2024
39835181	2025
39859397	2025
39550397	2024
39724358	2025
35327625	2022
39550441	2024
39276013	2024
36605571	2022
PMC12395797	2025
35567980	2022
41009021	2025
37147448	2023
38152025	2024
40328966	2025
40387795	2025
40145759	2025
39263566	2024
39951335	2025
40655043	2025
39394178	2024
41073405	2025
PPR738940	2023
40601632	2025
37096842	2023
41123243	2026
33801758	2021
34735735	2022
40498838	2025
39793083	2025
38041113	2023
38198950	2024
39651108	2024
40348193	2025
37468499	2023
36949470	2023
36291735	2022
39041409	2024
36211961	2022
39239533	2024
39321193	2024
34221910	2021
37508065	2023
39397258	2024
37502679	2023
34917099	2021
38675537	2024
37633907	2023
40634958	2025
40046683	2025
36430166	2022
35455710	2022
38968938	2024
34356691	2021
40563506	2025
36431809	2022
37243950	2023
36680947	2023
40059822	2025
41053213	2025
39992139	2025
38241085	2024
40650762	2025
37381064	2023
38964787	2024
38071367	2023
38829136	2024
38880127	2024
41472850	2025
40866699	2025
39015149	2024
38104129	2023
40583905	2025
37383151	2023
39741146	2024
37380082	2023
38340268	2024
41333838	2025
38623562	2024
35215371	2022
41294737	2025
39872045	2024
38339021	2024
41374958	2025
38548973	2024
40123759	2025
37047012	2023
40332313	2025
40401127	2025
41049736	2025
36281943	2022
40634292	2025
36550079	2023
37138875	2023
40454903	2025
36871129	2023
36944399	2023
37094433	2023
37686295	2023
41090690	2025
39674868	2024
36239351	2022
39104409	2024
38542872	2024
41291880	2025
39800731	2025
34204930	2021
39450168	2024
35535154	2022
40223272	2025
PPR863760	2024
39795868	2024
39779371	2025
34894064	2022
37591843	2023
35298135	2022
39858648	2025
38920611	2024
38636656	2024
37202415	2023
38957957	2024
40038521	2025
38144256	2023
41166086	2025
38217709	2024
39753911	2025
38615026	2024
40894229	2025
39144634	2024
37250708	2023
38629917	2024
36040289	2022
35842448	2022
36306014	2022
40459235	2025
40647784	2025
38880318	2024
41134888	2025
35805127	2022
38898115	2024
35379444	2022
37449027	2023
PMC12388515	2025
39769096	2024
37736627	2023
35221296	2022
36183830	2022
PPR919487	2024
37353187	2023
36990450	2023
39389991	2024
39411068	2024
40898094	2025
38438508	2024
37781693	2023
40121330	2025
PPR891744	2024
39400678	2025
38899735	2024
